price,year,month,National Capital region,Region III,Region VI,Region VII,Region XI,Region XII,Autonomous region in Muslim Mindanao,Cordillera Administrative region,Region I,Region II,Region IV-A,Region IV-B,Region IX,Region V,Region VIII,Region X,Region XIII
17.9,2000,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.7,2000,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.7,2000,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.75,2000,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,2000,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2000,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4,2000,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.65,2000,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17.1,2000,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18.4,2000,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.8,2000,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.7,2000,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.35,2000,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2000,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2000,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.5,2000,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17.3,2000,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2000,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.95,2000,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,2000,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16.35,2000,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,2000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.45,2000,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2000,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18.5,2000,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2000,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2000,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.4,2000,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16.7,2000,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
